artist,genres
the weeknd, canadiancontemporaryr&b canadianpop pop 
daft punk, electro filterhouse 
drakeo the ruler, calirap 
street dogs, bostonpunk oi punk punk'n'roll skapunk skatepunk 
daft punk, electro filterhouse 
lalion, deepundergroundhiphop 
daft punk, electro filterhouse 
hyo, k-pop 
daft punk, electro filterhouse 
3oh!3, dancepop electropowerpop modernrock pop poppunk poprap post-teenpop 
daft punk, electro filterhouse 
crystalyne, pixie popemo 
daft punk, electro filterhouse 
teddybears, electronicrock swedishalternativerock swedishelectropop 
daft punk, electro filterhouse 
chauncey666, 
daft punk, electro filterhouse 
the nearly deads, pixie popemo slayer 
daft punk, electro filterhouse 
brakence, emorap sadrap 
bobby cole, speedrun 
the weeknd, canadiancontemporaryr&b canadianpop pop 
bobby cole, speedrun 
jeezy, atlhiphop crunk dirtysouthrap gangsterrap hiphop poprap rap southernhiphop trap 
train, dancepop neomellow pop poprock 
death cab for cutie, indiepop indierock modernrock poprock washingtonindie 
soulja boy, atlhiphop dancepop dirtysouthrap poprap rap southernhiphop trap 
lee brice, contemporarycountry country countryroad moderncountryrock 
jesse mccartney, dancepop neomellow pop poprock post-teenpop urbancontemporary viralpop 
lizzo, dancepop escaperoom minnesotahiphop pop popdance poprap trapqueen 
soulja boy, atlhiphop dancepop dirtysouthrap poprap rap southernhiphop trap 
red hot chili peppers, alternativerock funkmetal funkrock permanentwave rock 
bazzi, dancepop electropop pop post-teenpop 
jazzinuf, chillhop focusbeats lo-fibeats 
logic, conscioushiphop dmvrap hiphop poprap rap 
bazzi, dancepop electropop pop post-teenpop 
the revivalists, indiefolk modernalternativerock modernbluesrock modernrock rock 
bts, k-pop k-popboygroup 
allman brothers band, albumrock bluesrock classicrock countryrock doubledrumming electricblues folkrock hardrock jamband mellowgold psychedelicrock rock rootsrock softrock southernrock 
jess benko, 
third day, ccm christianalternativerock christianmusic worship 
hippie sabotage, edm electronictrap 
majornine, miamihiphop popr&b 
mac miller, hiphop pittsburghrap rap 
bts, k-pop k-popboygroup 
sam & dave, brillbuildingpop classicsoul funk memphissoul motown soul southernsoul 
sydney woods, 
logic, conscioushiphop dmvrap hiphop poprap rap 
the doors, acidrock albumrock classicrock psychedelicrock rock 
collective soul, alternativemetal alternativerock numetal poprock post-grunge rock 
juraj stanik trio, 
bts, k-pop k-popboygroup 
l'indécis, chillhop jazzboombap 
the beatles, beatlesque britishinvasion classicrock merseybeat psychedelicrock rock 
zico, k-pop k-rap koreanpop koreanr&b 
forrest., 
shrk, lo-fichill sadrap 
quando rondo, melodicrap trap 
dusty decks, lo-fibeats 
dodie, indiecafepop indiepop pop 
hi hat henry, 
bilal, hiphop indiesoul neosoul 
psalm trees, chillhop focusbeats lo-fibeats 
bts, k-pop k-popboygroup 
carson james argenna, 
ty dolla $ign, poprap r&b trap trapsoul 
gov't mule, bluesrock classicrock countryrock electricblues jamband modernblues modernbluesrock rock rootsrock southernrock 
jessie ware, artpop britishsoul dancepop electropop neosoul pop popdance popsoul tropicalhouse 
mumford & sons, modernfolkrock modernrock stompandholler ukamericana 
bilal, hiphop indiesoul neosoul 
yael naim, frenchindiepop nouvellechansonfrancaise 
struggle jennings, countryrap 
soulja boy, atlhiphop dancepop dirtysouthrap poprap rap southernhiphop trap 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
anuel aa, latin reggaeton reggaetonflow trapboricua traplatino 
cnco, boyband latin latinpop reggaeton traplatino tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
cnco, boyband latin latinpop reggaeton traplatino tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
wisin & yandel, electrolatino latin latinhiphop reggaeton traplatino tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
ecko, argentinehiphop trapargentino traplatino 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
diego torres, latin latinpop popargentino rockenespanol spanishpop tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
alexis y fido, latin latinhiphop reggaeton reggaetonflow traplatino tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
jowell & randy, latin latinhiphop latinpop reggaeton reggaetonflow traplatino tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
anez, 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
don omar, latin latinhiphop puertoricanpop reggaeton traplatino tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
cnco, boyband latin latinpop reggaeton traplatino tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
kyen?es?, 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
peter tosh, dub reggae rootsreggae 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
kidz bop kids, children'smusic 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
ozuna, latin puertoricanpop reggaeton traplatino 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
dj elements, 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
jexal, 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
tommy mccook & the supersonics, earlyreggae rocksteady 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
steel pulse, dub reggae rootsreggae ukreggae 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
jimmy cliff, dub reggae rootsreggae ska 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
bob marley & the wailers, reggae rootsreggae 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
wayne dreadski, 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
311, alternativemetal alternativerock funkmetal funkrock numetal poprock raprock reggaefusion rock 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
mister laren, 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
black midi, freakfolk modernalternativerock noiserock uknoiserock ukpost-punkrevival 
morgan wallen, contemporarycountry deeptalentshow 
blake shelton, contemporarycountry country countryroad oklahomacountry 
luke bryan, contemporarycountry country countryroad 
john denver, adultstandards classiccountrypop folk folkrock mellowgold softrock 
nelly, dancepop hiphop poprap rap southernhiphop stlouisrap urbancontemporary 
lana del rey, artpop dancepop pop 
aaron lewis, contemporarycountry country countryroad moderncountryrock outlawcountry redneck 
jason aldean, contemporarycountry country countryroad 
seether, alternativemetal numetal post-grunge southafricanrock 
tyler childers, kentuckyindie kentuckyroots outlawcountry 
morgan wallen, contemporarycountry deeptalentshow 
brantley gilbert, contemporarycountry country countryroad moderncountryrock redneck 
alan jackson, contemporarycountry country countryroad countryrock 
luke bryan, contemporarycountry country countryroad 
randy houser, contemporarycountry country countryroad moderncountryrock redneck 
big k.r.i.t., alternativehiphop conscioushiphop dirtysouthrap gangsterrap hiphop mississippihiphop poprap rap southernhiphop trap undergroundhiphop 
morgan wallen, contemporarycountry deeptalentshow 
upchurch, contemporarycountry countryrap redneck 
"hank williams, jr.", country countryroad countryrock outlawcountry 
florida georgia line, contemporarycountry country countrypop countryroad moderncountryrock 
black sabbath, albumrock birminghammetal classicrock hardrock metal rock stonerrock ukdoommetal 
tyler childers, kentuckyindie kentuckyroots outlawcountry 
black sabbath, albumrock birminghammetal classicrock hardrock metal rock stonerrock ukdoommetal 
blake shelton, contemporarycountry country countryroad oklahomacountry 
neil young, albumrock canadiansinger-songwriter classiccanadianrock classicrock mellowgold permanentwave psychedelicrock rock rootsrock singer-songwriter 
nelly, dancepop hiphop poprap rap southernhiphop stlouisrap urbancontemporary 
hank williams iii, cowpunk outlawcountry 
thomas rhett, contemporarycountry country countryroad moderncountryrock 
james taylor, adultstandards classicrock folk folkrock mellowgold rock rootsrock singer-songwriter softrock 
avenged sevenfold, alternativemetal numetal 
travis tritt, contemporarycountry country countryroad countryrock outlawcountry 
florida georgia line, contemporarycountry country countrypop countryroad moderncountryrock 
naturesque, 
rodney atkins, contemporarycountry country countryroad moderncountryrock 
me first and the gimme gimmes, comic poppunk punk skapunk skatepunk 
eric church, contemporarycountry country countryroad moderncountryrock 
bubba sparxxx, atlhiphop countryrap dirtysouthrap poprap redneck southernhiphop 
blake shelton, contemporarycountry country countryroad oklahomacountry 
aaron lewis, contemporarycountry country countryroad moderncountryrock outlawcountry redneck 
the lacs, countryrap redneck 
alan jackson, contemporarycountry country countryroad countryrock 
toots & the maytals, reggae rocksteady ska 
luke bryan, contemporarycountry country countryroad 
adam calhoun, countryrap militaryrap redneck 
morgan wallen, contemporarycountry deeptalentshow 
tee grizzley, detroithiphop detroittrap hiphop poprap rap southernhiphop trap 
chris young, contemporarycountry country countryroad moderncountryrock 
hosier, countryrap redneck 
the charlie daniels band, classicrock country countryrock southernrock 
"hank williams, jr.", country countryroad countryrock outlawcountry 
mgmt, alternativedance indierock indietronica modernrock rock 
talking heads, artpunk artrock dancerock funkrock newwave permanentwave post-punk rock zolo 
soccer mommy, artpop bubblegrunge indiefolk indiepop indierock smallroom 
the wombats, indierock liverpoolindie modernalternativerock modernrock rock 
onyx deimos, 
imrsqd, christianhiphop christianpop christiantrap ukchristianrap 
the killers, modernrock permanentwave rock 
bobby cole, speedrun 
ht bristol, 
pixies, alternativerock artrock bostonrock indierock modernrock permanentwave rock 
raphael lake, rebelblues 
lemon demon, comic indietronica 
third eye blind, alternativerock neomellow poprock post-grunge rock 
indie pigeon, 
izzy camina, 
indie pigeon, 
indie pigeon, 
indie pigeon, 
zenshou, 
indie pigeon, 
zé das farinha, 
björk, alternativedance artpop dancepop electronica electropop experimentalpop experimentalvocal icelandicexperimental icelandicpop metropopolis permanentwave triphop 
heinz-sight, 
switchfoot, ccm christianalternativerock christianmusic christianrock neomellow poprock worship 
indie pigeon, 
adrik, 
tiziano ferro, italianadultpop italianpop 
james, britpop dancerock madchester newwave newwavepop permanentwave poprock rock 
ingvar lagerfelt, 
aesop rock, abstracthiphop alternativehiphop conscioushiphop hiphop 
london mars, 
los indomables, 
talk talk, artrock dancerock melancholia newromantic newwave newwavepop rock sophisti-pop synthpop 
indie pigeon, 
jötune, 
jötune, 
indie pigeon, 
jane's addiction, alternativemetal alternativerock artrock bluesrock funkmetal funkrock grunge hardrock numetal permanentwave rock 
audrey, modernindiepop 
they might be giants, alternativerock comic geekrock permanentwave zolo 
flora cash, indiepop scandipop swedishindiefolk 
echo & the bunnymen, alternativerock artrock dancerock dreampop newromantic newwave newwavepop permanentwave post-punk punk rock ukpost-punk 
indiehay, 
bobby cole, speedrun 
indie pigeon, 
bobby cole, speedrun 
indie pigeon, 
bobby cole, speedrun 
indie, 
stiff little fingers, hardcorepunk northernirishpunk oi pubrock punk ska 
atlanta rhythm section, albumrock artrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold rock softrock southernrock yachtrock 
spose, comic indiepoprap mainehiphop 
taneka blom, 
willie green, 
the wombats, indierock liverpoolindie modernalternativerock modernrock rock 
taneka blom, 
otr, electropop futurebass indieelectropop vaporsoul vaportwitch 
parker mylstrum, 
matchbox twenty, neomellow poprock post-grunge 
arstraction, 
twenty one pilots, modernrock rock 
wildilax, 
barenaked ladies, canadianpop canadianrock comic poprock 
joy division, alternativerock artrock dancerock madchester newwave post-punk rock ukpost-punk 
paula maurer, 
3oh!3, dancepop electropowerpop modernrock pop poppunk poprap post-teenpop 
reel big fish, modernskapunk poppunk punk ska skapunk skatepunk socalpoppunk 
third eye blind, alternativerock neomellow poprock post-grunge rock 
axion, 
vance joy, folk-pop modernrock pop poprock 
egbert drioel, 
faith no more, alternativemetal alternativerock funkmetal funkrock hardrock numetal rapmetal rock 
the exploited, hardcorepunk oi punk uk82 
bomba estéreo, cumbia latinalternative latinrock popelectronico 
natural chiropractic, 
lcd soundsystem, alternativedance alternativerock dance-punk electronicrock electronica indiepop indierock indietronica modernrock newrave rock 
gilbert schade, 
bts, k-pop k-popboygroup 
hugo callesen, 
morrissey, britpop dancerock madchester newwave permanentwave poprock rock 
phantoma, 
stone temple pilots, alternativemetal alternativerock grunge hardrock numetal poprock post-grunge rock 
andreas hartmann, 
echosmith, dancepop electropop indiepoptimism poprock 
dj-anonymouz, 
raimundos, brazilianpunk brazilianpunkrock brazilianreggae brazilianrock hardrockbrasileiro rockbrasiliense rocknacionalbrasileiro 
piano bipolar, 
bts, k-pop k-popboygroup 
contrigato, 
will wood, 
"""weird al"" yankovic", antiviralpop comedyrock comic parody 
james, britpop dancerock madchester newwave newwavepop permanentwave poprock rock 
cobra starship, dancepop neonpoppunk poppunk post-teenpop 
meepgod, 
static-x, alternativemetal groovemetal industrialmetal industrialrock numetal rapmetal raprock 
the stranglers, artrock dancerock glamrock newromantic newwave newwavepop post-punk protopunk pubrock punk rock ska zolo 
andarn, 
lucki, undergroundhiphop vaportrap 
xunreachablee, 
francikario, 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
reykon, latin latinhiphop latinpop popreggaeton reggaeton reggaetoncolombiano reggaetonflow traplatino tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
action bronson, alternativehiphop eastcoasthiphop hiphop nycrap queenshiphop rap undergroundhiphop 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
reykon, latin latinhiphop latinpop popreggaeton reggaeton reggaetoncolombiano reggaetonflow traplatino tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
larray, socialmediapop viralrap 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
calle 13, latin latinafrobeat latinalternative latinhiphop puertoricanrock rapconciencia reggaeton rockenespanol tropical 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
lighter shade of brown, chicanorap gangsterrap latinhiphop 
j balvin, latin reggaeton reggaetoncolombiano traplatino 
